"activity","time","p","p_peak","p_smooth"
"Playing baseball",970,0.000426140288688644,0.912798424531033,0.919962919213525
"Playing baseball",975,0.000445019948257016,0.953238917878247,0.945726959911494
"Playing baseball",980,0.000453378726597268,0.971143537325201,0.966899679653977
"Playing baseball",985,0.000455793765275288,0.976316583758482,0.982486707027895
"Playing baseball",990,0.000466850377078139,1,0.955545987747782
"Playing baseball",995,0.000415646871733237,0.890321379484863,0.936442368412148
"Playing baseball",1000,0.000429038169604094,0.919005725751581,0.899990235039273
"Playing baseball",1005,0.00041579730044685,0.890643599881374,0.901998505406015
"Playing baseball",1010,0.000418459557067202,0.896346190585089,0.898463659670522
"Playing baseball",1015,0.00042408743741051,0.908401188545101,0.925908019954464
"Playing baseball",1020,0.00045423453028853,0.9729766807332,0.923812852126114
"Playing baseball",1025,0.00041552516739508,0.890060687100039,0.925362838363856
"Playing baseball",1030,0.000426258272389178,0.913051147258328,0.904959529533974
"Playing baseball",1035,0.000425658653025914,0.911766754243554,0.90369565525461
"Playing baseball",1040,0.000413755046843379,0.886269064261946,0.888416534220921
"Playing baseball",1045,0.000404859082141177,0.867213784157261,0.882753920873203
"Playing baseball",1050,0.000417727873496024,0.8947789142004,0.877662431228512
"Playing baseball",1055,0.00040662415526184,0.870994595327876,0.876248294444732
"Playing baseball",1060,0.000402878511268932,0.862971373805918,0.875226601892799
"Playing baseball",1065,0.000416296940836641,0.891713836544602,0.870119062034515
"Playing baseball",1070,0.000399470784535495,0.855671975753024,0.839679349826517
"Playing baseball",1075,0.000360246137901571,0.771652237181925,0.804840174890225
"Playing baseball",1080,0.000367502894968343,0.787196311735726,0.739594004067255
"Playing baseball",1085,0.00030809018618067,0.659933463284113,0.702413571811501
"Playing baseball",1090,0.00030817304144599,0.660110940414664,0.657976230052826
"Playing baseball",1095,0.000305266125699181,0.653884286459701,0.640533179085875
"Playing baseball",1100,0.000283660301416727,0.60760431038326,0.630745845675354
"Playing baseball",1105,0.000294465380566117,0.6307489401831,0.61352541380871
"Playing baseball",1110,0.000281148030368008,0.602222990859769,0.570364623849088
"Playing baseball",1115,0.000223211408213808,0.478121940504394,0.546829324193981
"Playing baseball",1120,0.000261502990010216,0.560143041217779,0.532024490511981
"Playing baseball",1125,0.000260413103806945,0.557808489813768,0.553861362792415
"Playing baseball",1130,0.000253795064388792,0.543632557345699,0.55775604921661
"Playing baseball",1135,0.000266957697487425,0.571827100490363,0.582578554448806
"Playing baseball",1140,0.000295178291589969,0.632276005510357,0.582271253977982
"Playing baseball",1145,0.000253364674366751,0.542710655933227,0.577842478322998
"Playing baseball",1150,0.000260754970733853,0.558540773525411,0.55326406766135
"Playing baseball",1155,0.000260754970733853,0.558540773525411,0.573139281420315
"Playing baseball",1160,0.000281200927480395,0.602336297210122,0.578088990105711
"Playing baseball",1165,0.000267687290832466,0.573389899581601,0.577877744057564
"Playing baseball",1170,0.000260459109842151,0.557907035380968,0.540492509146589
"Playing baseball",1175,0.000228840994434365,0.490180592477197,0.498373404802716
"Playing baseball",1180,0.000208697331597075,0.447032586549983,0.471377327103502
"Playing baseball",1185,0.000222649722681625,0.476918802283326,0.432523673394648
"Playing baseball",1190,0.000174424465779839,0.373619631350634,0.393454180433295
"Playing baseball",1195,0.000153978509033297,0.329824107665923,0.37058033039927
"Playing baseball",1200,0.000190613726140786,0.408297252181253,0.36763617224702
"Playing baseball",1205,0.000170301021749172,0.364787156893885,0.380215336211725
"Playing baseball",1210,0.000171596271354048,0.367561599560039,0.366636785337987
"Playing baseball",1215,0.000171596271354048,0.367561599560039,0.358971648924511
"Playing baseball",1220,0.000159565606274212,0.341791747653456,0.350422200690029
"Playing baseball",1225,0.000159622331957814,0.341913254856592,0.341872752455546
"Playing baseball",1230,0.000159622331957814,0.341913254856592,0.33461536803121
"Playing baseball",1235,0.000149401268308904,0.320019594380446,0.328689602481414
"Playing baseball",1240,0.000151322994313618,0.324135958207206,0.31338666771004
"Playing baseball",1245,0.000138189789352559,0.296004450542469,0.305381619764048
"Playing baseball",1250,0.000138189789352559,0.296004450542469,0.291427887863956
"Playing baseball",1255,0.000131780079316003,0.282274762506931,0.286851325185444
"Playing baseball",1260,0.000131780079316003,0.282274762506931,0.262315030905799
"Playing baseball",1265,0.000103825454642902,0.222395567703536,0.242355299304668
